Date,Type de transaction,Texte de notification
1/30/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 30.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250130091241214213AC NUMERO DE COMMANDE 125763137273
1/28/2025,Enregistrement comptable,ACHAT/SERVICE DU 28.01.2025 CARTE NO XXXX6273 ALIJEVIC CREATIVE LAUSANNE (CH)
1/27/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 27.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250127180615469211AC NUMERO DE COMMANDE 125427737681
1/27/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 27.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250127084405049317AC NUMERO DE COMMANDE 125360237411
1/26/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 26.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250126152220238793AC NUMERO DE COMMANDE 125280537353
1/24/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 24.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250124175719123381AC NUMERO DE COMMANDE 125039537056
1/22/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 22.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250122221254464968AC NUMERO DE COMMANDE 124801736927
1/22/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 22.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250122151107894688AC NUMERO DE COMMANDE 124754837280
1/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.01.2025 COOP-5932 LS CITY ST.FRANÇ. K. LAUSANNE
1/21/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 21.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250121180612429947AC NUMERO DE COMMANDE 124646737047
1/21/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 21.01.2025 POUR NUMERO MOBILE. +41774042694 MATOS, SEBASTIEN"
1/21/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 21.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250121091137563476AC NUMERO DE COMMANDE 124584536829
1/21/2025,Enregistrement comptable,ACHAT/SERVICE DU 21.01.2025 CARTE NO XXXX6273 ZYMI SARL LAUSANNE (CH)
1/19/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 19.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250119155359053760AC NUMERO DE COMMANDE 124376937473
1/19/2025,Enregistrement comptable,ACHAT/SERVICE DU 19.01.2025 CARTE NO XXXX6273 LS BONGUSTO ITALIANO LAUSANNE (CH)
1/19/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 19.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250119135939993244AC NUMERO DE COMMANDE 124364437320
1/18/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 18.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250118143350133684AC NUMERO DE COMMANDE 124244237422
1/18/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 18.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250118092130704945AC NUMERO DE COMMANDE 124208136918
1/17/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 17.01.2025 MONTANT DANS LA MONNAIE DU COMPTE 126.90 1.5% FRAIS DE TRAITEMENT 1.90 CARTE N° XXXX6273 WWW.AMBIENTEDIRECT.COM MUENCHEN
1/16/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 16.01.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
1/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250115201409984707AC NUMERO DE COMMANDE 123892136903
1/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.01.2025 COP 56949.00 AU COURS DE 0.000214 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.01.2025 COP 22134.00 AU COURS DE 0.000214 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.01.2025 COP 18926.00 AU COURS DE 0.000214 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.01.2025 COP 19595.00 AU COURS DE 0.000214 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.01.2025 COP 11760.00 AU COURS DE 0.000215 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
11/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.01.2025 COP 16974.00 AU COURS DE 0.000215 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
11/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.01.2025 COP 16811.00 AU COURS DE 0.000215 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
11/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.01.2025 COP 34864.00 AU COURS DE 0.000215 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
8/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.01.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
5/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.01.2025 USD 20.00 AU COURS DE 0.9222 MONTANT DANS LA MONNAIE DU COMPTE 18.44 1.5% FRAIS DE TRAITEMENT 0.28 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
2/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.01.2025 COP 42500.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
2/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.01.2025 COP 41382.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
2/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.01.2025 COP 23491.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
2/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.01.2025 COP 30295.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.01.2025 COP 30668.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.01.2025 COP 16240.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
1/1/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.01.2025 COP 20754.00 AU COURS DE 0.000208 CARTE N° XXXX6273 UBER *TRIP HELP.UBER.C VORDEN
